Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vn85;vn;ВН-85;ТП-127 ввод с Л-18П-2 (п.Чална) (ЗН);false;11;0;0;1;0;1;true;ВН-85 Включен;true;ВН-85 Выключен;0;;0;0;0;0;0;3
vn86;vn;ВН-86;(ЗН);false;11;0;0;1;0;1;true;ВН-86 Включен;true;ВН-86 Выключен;0;;0;0;0;0;0;3
vn87;vn;ВН-87;ТП-357 ввод с Л-5-19 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-87 Включен;true;ВН-87 Выключен;1;;0;0;0;0;0;3
vn88;vn;ВН-88;ТП-357 ввод с Л-5-27 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-88 Включен;true;ВН-88 Выключен;0;;0;0;0;0;0;3
vn89;vn;ВН-89;ТП-48 ввод с Л-22П-13 (с.Деревянное) (ЗН);false;11;0;0;1;0;1;true;ВН-89 Включен;true;ВН-89 Выключен;1;;0;0;0;0;0;3
vn90;vn;ВН-90;ТП-48 ввод с Л-5-17 (с.Деревянное);false;11;0;0;1;0;1;true;ВН-90 Включен;true;ВН-90 Выключен;1;;0;0;0;0;0;3
vn91;vn;ВН-91;;false;11;0;0;1;0;1;true;ВН-91 Включен;true;ВН-91 Выключен;0;;0;0;0;0;0;3
vn92;vn;ВН-92;ТП-28 ввод со стороны ТП-29 (д.Шуйская Чупа) (ЗН);false;11;0;0;1;0;1;true;ВН-92 Включен;true;ВН-92 Выключен;1;;0;0;0;0;0;3
vn93;vn;ВН-93;ТП-28 ввод с Л-18П-3 от ТП-37 (д.Шуйская Чупа) (ЗН);false;11;0;0;1;0;1;true;ВН-93 Включен;true;ВН-93 Выключен;1;;0;0;0;0;0;3
vn94;vn;ВН-94;ТП-324 ввод с Л-18П-2;false;11;0;0;1;0;1;true;ВН-94 Включен;true;ВН-94 Выключен;1;;0;0;0;0;0;3
